plot,site,plot_size,exposition,sand_ratio,substrate_depth,target_type,seed_density,survey_date.seeded,survey_date.2018,survey_date.2019,survey_date.2020,survey_date.2021,vegetation_cover.2018,vegetation_cover.2019,vegetation_cover.2020,vegetation_cover.2021
L1_01,1,6,south,0,15,hay_meadow,4,2018-04-27,2018-07-21,2019-06-26,2020-06-13,2021-07-05,80,70,70,70
L1_02,1,6,south,0,15,dry_grassland,4,2018-04-27,2018-07-21,2019-06-26,2020-06-13,2021-07-05,65,50,60,80
L1_03,1,6,south,0,15,dry_grassland,8,2018-04-27,2018-07-21,2019-06-26,2020-06-13,2021-07-05,70,60,80,50
L1_04,1,6,south,0,15,hay_meadow,8,2018-04-27,2018-07-21,2019-06-26,2020-06-13,2021-07-05,80,60,60,50
L1_05,1,6,south,25,15,hay_meadow,8,2018-04-27,2018-07-21,2019-06-26,2020-06-13,2021-07-05,30,60,70,70
L1_06,1,6,south,25,15,dry_grassland,4,2018-04-27,2018-07-21,2019-06-26,2020-06-13,2021-07-05,50,70,80,90
L1_07,1,6,south,25,15,hay_meadow,4,2018-04-27,2018-07-21,2019-06-26,2020-06-13,2021-07-05,75,70,80,80
L1_08,1,6,south,25,15,dry_grassland,8,2018-04-27,2018-07-21,2019-06-26,2020-06-13,2021-07-05,85,70,65,70
L1_09,1,6,south,50,15,hay_meadow,4,2018-04-27,2018-07-21,2019-06-26,2020-06-13,2021-07-05,50,60,65,90
L1_10,1,6,south,50,15,hay_meadow,8,2018-04-27,2018-07-21,2019-06-26,2020-06-13,2021-07-05,75,65,70,80
L1_11,1,6,south,50,15,dry_grassland,4,2018-04-27,2018-07-21,2019-06-26,2020-06-13,2021-07-05,85,70,75,90
L1_12,1,6,south,50,15,dry_grassland,8,2018-04-27,2018-07-21,2019-06-26,2020-06-13,2021-07-05,75,90,80,90
L1_13,1,6,south,0,30,dry_grassland,4,2018-04-27,2018-07-21,2019-06-21,2020-06-13,2021-07-05,75,80,85,80
L1_14,1,6,south,0,30,hay_meadow,8,2018-04-27,2018-07-21,2019-06-21,2020-06-13,2021-07-05,60,80,80,90
L1_15,1,6,south,0,30,dry_grassland,8,2018-04-27,2018-07-21,2019-06-21,2020-06-13,2021-07-05,75,70,55,90
L1_16,1,6,south,0,30,hay_meadow,4,2018-04-27,2018-07-21,2019-06-21,2020-06-13,2021-07-05,50,80,75,90
L1_17,1,6,south,25,30,hay_meadow,4,2018-04-27,2018-07-21,2019-06-21,2020-06-13,2021-07-05,60,70,70,80
L1_18,1,6,south,25,30,dry_grassland,4,2018-04-27,2018-07-21,2019-06-21,2020-06-13,2021-07-05,50,80,70,80
L1_19,1,6,south,25,30,dry_grassland,8,2018-04-27,2018-07-21,2019-06-21,2020-06-13,2021-07-05,50,80,75,90
L1_20,1,6,south,25,30,hay_meadow,8,2018-04-27,2018-07-21,2019-06-21,2020-06-13,2021-07-05,50,80,75,80
L1_21,1,6,south,50,30,hay_meadow,8,2018-04-27,2018-07-21,2019-06-21,2020-06-13,2021-07-05,30,60,70,90
L1_22,1,6,south,50,30,dry_grassland,8,2018-04-27,2018-07-21,2019-06-21,2020-06-13,2021-07-05,65,60,70,90
L1_23,1,6,south,50,30,hay_meadow,4,2018-04-27,2018-07-21,2019-06-21,2020-06-13,2021-07-05,60,60,75,90
